Rank,Score,Name,ID,Link,Type,Episodes,Start Date,End Date,Status,Premiered,Broadcast,Studios,Source,Genres,Demographics,Duration,Rating,Popularity,Members,Favorites,Aired start,Aired end
1325,7.71,Isekai no Seikishi Monogatari,5781,https://myanimelist.net/anime/5781/Isekai_no_Seikishi_Monogatari,OVA,13,May 2009,May 2010,Finished Airing,N/A,N/A,"AIC Spirits, BeSTACK",Original,"Comedy, Fantasy, Ecchi",N/A,45 min. per ep.,R+ - Mild Nudity,#1267,"212,470","1,877","May 22, 2009","May 26, 2010"
1326,7.71,Kageki Shoujo!!,43691,https://myanimelist.net/anime/43691/Kageki_Shoujo,TV,13,Jul 2021,Sep 2021,Finished Airing,Summer 2021,Sundays at 00:00 (JST),PINE JAM,Manga,Drama,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,#2456,"91,176",520,"Jul 4, 2021","Sep 26, 2021"
1327,7.71,Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,10090,https://myanimelist.net/anime/10090/Koukaku_Kidoutai__Stand_Alone_Complex_-_Solid_State_Society_3D,Movie,1,Mar 2011,Mar 2011,Finished Airing,N/A,N/A,Production I.G,Manga,"Mystery, Sci-Fi",Seinen,1 hr. 48 min.,R - 17+ (violence &amp; profanity),#5607,"17,652",18,N/A,N/A
1328,7.71,Kun Tun Tianxia Zhi Zhang Men Guilai,60572,https://myanimelist.net/anime/60572/Kun_Tun_Tianxia_Zhi_Zhang_Men_Guilai,ONA,12,May 2025,Jul 2025,Finished Airing,N/A,N/A,Big Firebird Culture,Manga,"Action, Fantasy",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#4961,"23,897",172,"May 1, 2025","Jul 11, 2025"
1329,7.71,Kyoukai no Kanata,18153,https://myanimelist.net/anime/18153/Kyoukai_no_Kanata,TV,12,Oct 2013,Dec 2013,Finished Airing,Fall 2013,Thursdays at 00:30 (JST),Kyoto Animation,Light novel,"Action, Supernatural",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#130,"1,225,422","12,170","Oct 3, 2013","Dec 19, 2013"
1330,7.71,Ling Long 2nd Season,60570,https://myanimelist.net/anime/60570/Ling_Long_2nd_Season,ONA,12,May 2025,Aug 2025,Finished Airing,N/A,N/A,YHKT Entertainment,Original,"Action, Sci-Fi",N/A,38 min. per ep.,R - 17+ (violence &amp; profanity),#14713,"1,028",13,"May 23, 2025","Aug 1, 2025"
1331,7.71,Love Live! Nijigasaki Gakuen School Idol Doukoukai: Kanketsu-hen,55748,https://myanimelist.net/anime/55748/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai__Kanketsu-hen,Movie,1,Sep 2024,Sep 2024,Finished Airing,N/A,N/A,Sunrise,Original,Slice of Life,N/A,1 hr. 6 min.,PG-13 - Teens 13 or older,#7681,"8,019",26,N/A,N/A
1332,7.71,Luo Xiaohei Zhanji,33443,https://myanimelist.net/anime/33443/Luo_Xiaohei_Zhanji,ONA,28,Mar 2011,Aug 2019,Finished Airing,N/A,N/A,HMCH,Original,"Comedy, Supernatural",N/A,7 min. per ep.,PG-13 - Teens 13 or older,#8144,"6,926",71,"Mar 17, 2011","Aug 27, 2019"
1333,7.71,Neko no Ongaeshi,597,https://myanimelist.net/anime/597/Neko_no_Ongaeshi,Movie,1,Jul 2002,Jul 2002,Finished Airing,N/A,N/A,Studio Ghibli,Other,"Adventure, Award Winning, Drama, Fantasy",N/A,1 hr. 15 min.,G - All Ages,#907,"298,434","1,684",N/A,N/A
1334,7.71,Noragami OVA,20767,https://myanimelist.net/anime/20767/Noragami_OVA,OVA,2,Feb 2014,Jul 2014,Finished Airing,N/A,N/A,Bones,Manga,"Comedy, Supernatural",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#796,"336,535",386,"Feb 17, 2014","Jul 17, 2014"
1335,7.71,Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,37442,https://myanimelist.net/anime/37442/Psycho-Pass__Sinners_of_the_System_Case3_-_Onshuu_no_Kanata_ni＿＿,Movie,1,Mar 2019,Mar 2019,Finished Airing,N/A,N/A,Production I.G,Original,"Action, Mystery, Sci-Fi, Suspense",N/A,1 hr. 7 min.,R+ - Mild Nudity,#2209,"107,217",123,N/A,N/A
1336,7.70,Jinrui wa Suitai Shimashita,10357,https://myanimelist.net/anime/10357/Jinrui_wa_Suitai_Shimashita,TV,12,Jul 2012,Sep 2012,Finished Airing,Summer 2012,Mondays at 00:00 (JST),AIC ASTA,Light novel,"Adventure, Comedy, Fantasy, Sci-Fi",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#1348,"199,128","1,974","Jul 2, 2012","Sep 17, 2012"
1337,7.70,Joshikousei no Mudazukai,38619,https://myanimelist.net/anime/38619/Joshikousei_no_Mudazukai,TV,12,Jul 2019,Sep 2019,Finished Airing,Summer 2019,Fridays at 21:30 (JST),Passione,Web manga,Comedy,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#1891,"133,326",763,"Jul 5, 2019","Sep 20, 2019"
1338,7.70,Jujutsu Kaisen 2nd Season Recaps,56243,https://myanimelist.net/anime/56243/Jujutsu_Kaisen_2nd_Season_Recaps,Special,2,Aug 2023,Aug 2023,Finished Airing,N/A,N/A,MAPPA,Manga,"Action, Supernatural",Shounen,24 min. per ep.,R - 17+ (violence &amp; profanity),#4388,"31,620",208,"Aug 11, 2023","Aug 18, 2023"
1339,7.70,Keroro Gunsou,516,https://myanimelist.net/anime/516/Keroro_Gunsou,TV,358,Apr 2004,Apr 2011,Finished Airing,Spring 2004,Unknown,Sunrise,Manga,"Comedy, Sci-Fi",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#2618,"82,234","1,328","Apr 3, 2004","Apr 4, 2011"
1340,7.70,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,54714,https://myanimelist.net/anime/54714/Kimi_no_Koto_ga_Daidaidaidaidaisuki_na_100-nin_no_Kanojo,TV,12,Oct 2023,Dec 2023,Finished Airing,Fall 2023,Sundays at 22:30 (JST),Bibury Animation Studios,Manga,"Comedy, Romance",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,#891,"306,026","2,922","Oct 8, 2023","Dec 24, 2023"
1341,7.70,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",35363,https://myanimelist.net/anime/35363/Kobayashi-san_Chi_no_Maid_Dragon__Valentine_Soshite_Onsen_-_Amari_Kitai_Shinaide_Kudasai,Special,1,Sep 2017,Sep 2017,Finished Airing,N/A,N/A,Kyoto Animation,Manga,"Slice of Life, Supernatural",N/A,23 min.,PG-13 - Teens 13 or older,#1187,"230,034",274,N/A,N/A
1342,7.70,Kuroko no Basket 2nd Season NG-shuu,22673,https://myanimelist.net/anime/22673/Kuroko_no_Basket_2nd_Season_NG-shuu,Special,9,Jan 2014,Sep 2014,Finished Airing,N/A,N/A,Production I.G,Manga,"Comedy, Sports",N/A,2 min. per ep.,PG-13 - Teens 13 or older,#2911,"68,961",125,"Jan 29, 2014","Sep 24, 2014"
1343,7.70,Macross Plus,474,https://myanimelist.net/anime/474/Macross_Plus,OVA,4,Aug 1994,Jun 1995,Finished Airing,N/A,N/A,Triangle Staff,Original,"Drama, Romance, Sci-Fi",N/A,39 min. per ep.,R - 17+ (violence &amp; profanity),#3324,"53,834",494,"Aug 25, 1994","Jun 25, 1995"
1344,7.70,Macross Plus Movie Edition,1211,https://myanimelist.net/anime/1211/Macross_Plus_Movie_Edition,Movie,1,Oct 1995,Oct 1995,Finished Airing,N/A,N/A,Triangle Staff,Original,"Adventure, Romance, Sci-Fi",N/A,1 hr. 54 min.,R+ - Mild Nudity,#5330,"20,182",98,N/A,N/A
1345,7.70,Meitantei Conan Movie 16: 11-ninme no Striker,12117,https://myanimelist.net/anime/12117/Meitantei_Conan_Movie_16__11-ninme_no_Striker,Movie,1,Apr 2012,Apr 2012,Finished Airing,N/A,N/A,TMS Entertainment,Manga,"Adventure, Comedy, Mystery, Sports",Shounen,1 hr. 50 min.,G - All Ages,#3542,"48,018",32,N/A,N/A
1346,7.70,Migi to Dali,50586,https://myanimelist.net/anime/50586/Migi_to_Dali,TV,13,Oct 2023,Dec 2023,Finished Airing,Fall 2023,Mondays at 22:00 (JST),"Geek Toys, CompTown",Manga,"Comedy, Mystery, Suspense",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,#2336,"98,936",633,"Oct 2, 2023","Dec 25, 2023"
1347,7.70,Monsters: Ippyaku Sanjou Hiryuu Jigoku,56055,https://myanimelist.net/anime/56055/Monsters__Ippyaku_Sanjou_Hiryuu_Jigoku,ONA,1,Jan 2024,Jan 2024,Finished Airing,N/A,N/A,E&amp;H Production,Manga,Fantasy,Shounen,25 min.,PG-13 - Teens 13 or older,#3493,"49,146",170,N/A,N/A
1348,7.70,One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,31289,https://myanimelist.net/anime/31289/One_Piece__Episode_of_Sabo_-_3_Kyoudai_no_Kizuna_Kiseki_no_Saikai_to_Uketsugareru_Ishi,Special,1,Aug 2015,Aug 2015,Finished Airing,N/A,N/A,Toei Animation,Manga,"Action, Adventure, Fantasy",Shounen,1 hr. 46 min.,PG-13 - Teens 13 or older,#3737,"44,018",32,N/A,N/A
1349,7.70,One Punch Man Specials,31772,https://myanimelist.net/anime/31772/One_Punch_Man_Specials,Special,6,Dec 2015,May 2016,Finished Airing,N/A,N/A,Madhouse,Web manga,"Action, Comedy",Seinen,12 min. per ep.,R - 17+ (violence &amp; profanity),#779,"341,783",497,"Dec 24, 2015","May 27, 2016"
1350,7.70,One Punch Man: Road to Hero,31704,https://myanimelist.net/anime/31704/One_Punch_Man__Road_to_Hero,OVA,1,Dec 2015,Dec 2015,Finished Airing,N/A,N/A,Madhouse,Web manga,"Action, Comedy",Seinen,24 min.,R - 17+ (violence &amp; profanity),#789,"339,945",370,N/A,N/A
1351,7.70,Princess Principal: Crown Handler 2,41140,https://myanimelist.net/anime/41140/Princess_Principal__Crown_Handler_2,Movie,1,Sep 2021,Sep 2021,Finished Airing,N/A,N/A,Actas,Original,"Action, Mystery",N/A,55 min.,R - 17+ (violence &amp; profanity),#5473,"18,855",29,N/A,N/A
1352,7.70,School Rumble: Ichi Gakki Hoshuu,517,https://myanimelist.net/anime/517/School_Rumble__Ichi_Gakki_Hoshuu,OVA,2,Dec 2005,Dec 2005,Finished Airing,N/A,N/A,Studio Comet,Manga,"Comedy, Romance",Shounen,25 min. per ep.,PG-13 - Teens 13 or older,#3091,"61,778",105,N/A,N/A
1353,7.70,Tetsuwan Birdy Decode:02,5074,https://myanimelist.net/anime/5074/Tetsuwan_Birdy_Decode_02,TV,12,Jan 2009,Mar 2009,Finished Airing,Winter 2009,Saturdays at 02:10 (JST),A-1 Pictures,Manga,"Action, Comedy, Sci-Fi",Seinen,23 min. per ep.,R - 17+ (violence &amp; profanity),#3276,"55,207",263,"Jan 10, 2009","Mar 28, 2009"
1354,7.70,The iDOLM@STER Cinderella Girls: U149,51536,https://myanimelist.net/anime/51536/The_iDOLMSTER_Cinderella_Girls__U149,TV,12,Apr 2023,Jun 2023,Finished Airing,Spring 2023,Thursdays at 00:00 (JST),CygamesPictures,Web manga,Slice of Life,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#5527,"18,295",178,"Apr 6, 2023","Jun 29, 2023"
1355,7.70,Uramichi Oniisan,40620,https://myanimelist.net/anime/40620/Uramichi_Oniisan,TV,13,Jul 2021,Sep 2021,Finished Airing,Summer 2021,Tuesdays at 01:30 (JST),Studio Blanc.,Web manga,Comedy,N/A,23 min. per ep.,PG-13 - Teens 13 or older,#1042,"261,625","2,635","Jul 6, 2021","Sep 28, 2021"
1356,7.70,Ushiro no Shoumen Daare,2753,https://myanimelist.net/anime/2753/Ushiro_no_Shoumen_Daare,Movie,1,Mar 1991,Mar 1991,Finished Airing,N/A,N/A,Mushi Production,Novel,Drama,N/A,1 hr. 30 min.,G - All Ages,#5899,"15,437",36,N/A,N/A
1357,7.70,Watashi no Ashinaga Ojisan,1375,https://myanimelist.net/anime/1375/Watashi_no_Ashinaga_Ojisan,TV,40,Jan 1990,Dec 1990,Finished Airing,Winter 1990,Sundays at 19:30 (JST),Nippon Animation,Novel,"Comedy, Romance",N/A,23 min. per ep.,G - All Ages,#5422,"19,274",166,"Jan 4, 1990","Dec 23, 1990"
1358,7.70,Watashi no Shiawase na Kekkon,51552,https://myanimelist.net/anime/51552/Watashi_no_Shiawase_na_Kekkon,TV,12,Jul 2023,Sep 2023,Finished Airing,Summer 2023,Wednesdays at 23:30 (JST),Kinema Citrus,Novel,"Drama, Fantasy, Romance",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#731,"362,740","3,267","Jul 5, 2023","Sep 20, 2023"
1359,7.70,BanG Dream! Movie: Episode of Roselia - I: Yakusoku,41780,https://myanimelist.net/anime/41780/BanG_Dream_Movie__Episode_of_Roselia_-_I__Yakusoku,Movie,1,Apr 2021,Apr 2021,Finished Airing,N/A,N/A,SANZIGEN,Mixed media,N/A,N/A,1 hr. 17 min.,PG-13 - Teens 13 or older,#6319,"12,872",71,N/A,N/A
1360,7.70,Break Blade Movie 2: Ketsubetsu no Michi,8514,https://myanimelist.net/anime/8514/Break_Blade_Movie_2__Ketsubetsu_no_Michi,Movie,1,Jun 2010,Jun 2010,Finished Airing,N/A,N/A,"Production I.G, Xebec",Manga,Fantasy,Shounen,51 min.,R - 17+ (violence &amp; profanity),#3049,"63,528",26,N/A,N/A
1361,7.70,Chuunibyou demo Koi ga Shitai!,14741,https://myanimelist.net/anime/14741/Chuunibyou_demo_Koi_ga_Shitai,TV,12,Oct 2012,Dec 2012,Finished Airing,Fall 2012,Thursdays at 00:30 (JST),Kyoto Animation,Light novel,"Comedy, Romance",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#101,"1,434,600","18,708","Oct 4, 2012","Dec 20, 2012"
1362,7.70,Daicon Opening Animations,2724,https://myanimelist.net/anime/2724/Daicon_Opening_Animations,Special,2,Aug 1981,Aug 1983,Finished Airing,N/A,N/A,Gainax,Other,"Adventure, Sci-Fi",N/A,5 min. per ep.,PG - Children,#5027,"23,275",209,"Aug 22, 1981","Aug 20, 1983"
1363,7.70,Enen no Shouboutai: San no Shou,51818,https://myanimelist.net/anime/51818/Enen_no_Shouboutai__San_no_Shou,TV,12,Apr 2025,Jun 2025,Finished Airing,Spring 2025,Saturdays at 01:53 (JST),David Production,Manga,"Action, Fantasy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#996,"272,712","1,783","Apr 5, 2025","Jun 21, 2025"
1364,7.70,Haikyuu!! Lev Genzan!,25303,https://myanimelist.net/anime/25303/Haikyuu_Lev_Genzan,OVA,1,Mar 2015,Mar 2015,Finished Airing,N/A,N/A,Production I.G,Manga,Sports,Shounen,24 min.,PG-13 - Teens 13 or older,#1780,"143,365",204,N/A,N/A
1365,7.70,Hakumei to Mikochi,36094,https://myanimelist.net/anime/36094/Hakumei_to_Mikochi,TV,12,Jan 2018,Mar 2018,Finished Airing,Winter 2018,Fridays at 21:00 (JST),Lerche,Manga,"Fantasy, Slice of Life",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,#2865,"70,846",450,"Jan 12, 2018","Mar 30, 2018"
1366,7.70,Hibike! Euphonium: Ensemble Contest-hen,51995,https://myanimelist.net/anime/51995/Hibike_Euphonium__Ensemble_Contest-hen,Movie,1,Aug 2023,Aug 2023,Finished Airing,N/A,N/A,Kyoto Animation,Novel,Drama,N/A,57 min.,PG-13 - Teens 13 or older,#4263,"33,884",67,N/A,N/A
1367,7.69,Asagao to Kase-san.,36214,https://myanimelist.net/anime/36214/Asagao_to_Kase-san,OVA,1,Jun 2018,Jun 2018,Finished Airing,N/A,N/A,Zexcs,Manga,Girls Love,Shoujo,58 min.,PG-13 - Teens 13 or older,#1937,"129,359","1,268",N/A,N/A
1368,7.69,Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,997,https://myanimelist.net/anime/997/Bishoujo_Senshi_Sailor_Moon_S__Kaguya-hime_no_Koibito,Movie,1,Dec 1994,Dec 1994,Finished Airing,N/A,N/A,Toei Animation,Manga,"Adventure, Comedy, Drama, Romance",Shoujo,1 hr.,PG-13 - Teens 13 or older,#3198,"57,621",128,N/A,N/A
1369,7.69,Date A Live V,52196,https://myanimelist.net/anime/52196/Date_A_Live_V,TV,12,Apr 2024,Jun 2024,Finished Airing,Spring 2024,Wednesdays at 23:30 (JST),Geek Toys,Light novel,"Action, Fantasy, Romance, Sci-Fi",N/A,23 min. per ep.,R - 17+ (violence &amp; profanity),#1887,"133,857","1,380","Apr 10, 2024","Jun 26, 2024"
1370,7.69,Fruits Basket,120,https://myanimelist.net/anime/120/Fruits_Basket,TV,26,Jul 2001,Dec 2001,Finished Airing,Summer 2001,Thursdays at 18:00 (JST),Studio Deen,Manga,"Drama, Romance, Supernatural",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,#435,"560,874","9,880","Jul 5, 2001","Dec 27, 2001"
1371,7.69,Gekkan Shoujo Nozaki-kun Specials,27633,https://myanimelist.net/anime/27633/Gekkan_Shoujo_Nozaki-kun_Specials,Special,6,Sep 2014,Feb 2015,Finished Airing,N/A,N/A,Doga Kobo,4-koma manga,"Comedy, Romance",N/A,3 min. per ep.,PG-13 - Teens 13 or older,#1771,"144,027",109,"Sep 24, 2014","Feb 25, 2015"
1372,7.69,Hanhua Riji 3rd Season,50401,https://myanimelist.net/anime/50401/Hanhua_Riji_3rd_Season,ONA,12,Jul 2022,Oct 2022,Finished Airing,N/A,N/A,L²Studio,Original,"Comedy, Supernatural",N/A,13 min. per ep.,PG-13 - Teens 13 or older,#10045,"3,938",10,"Jul 31, 2022","Oct 9, 2022"
1373,7.69,IDOLiSH7,33899,https://myanimelist.net/anime/33899/IDOLiSH7,TV,17,Jan 2018,May 2018,Finished Airing,Winter 2018,Sundays at 22:30 (JST),TROYCA,Game,Drama,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#2714,"77,343","1,509","Jan 7, 2018","May 19, 2018"
1374,7.69,Isekai Shokudou 2,48804,https://myanimelist.net/anime/48804/Isekai_Shokudou_2,TV,12,Oct 2021,Dec 2021,Finished Airing,Fall 2021,Saturdays at 01:23 (JST),OLM,Light novel,"Fantasy, Gourmet, Slice of Life",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#2160,"111,515",450,"Oct 2, 2021","Dec 18, 2021"
1375,7.69,Kakushigoto Movie,44586,https://myanimelist.net/anime/44586/Kakushigoto_Movie,Movie,1,Jul 2021,Jul 2021,Finished Airing,N/A,N/A,Ajia-do,Manga,Comedy,Shounen,1 hr. 18 min.,PG-13 - Teens 13 or older,#3729,"44,113",154,N/A,N/A
1376,7.69,Kidou Keisatsu Patlabor: On Television,324,https://myanimelist.net/anime/324/Kidou_Keisatsu_Patlabor__On_Television,TV,47,Oct 1989,Sep 1990,Finished Airing,Fall 1989,Unknown,Sunrise,Original,"Comedy, Sci-Fi",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#3705,"44,676",483,"Oct 11, 1989","Sep 26, 1990"
1377,7.69,Kidou Senshi Gundam: Gyakushuu no Char,87,https://myanimelist.net/anime/87/Kidou_Senshi_Gundam__Gyakushuu_no_Char,Movie,1,Mar 1988,Mar 1988,Finished Airing,N/A,N/A,Sunrise,Novel,"Drama, Sci-Fi",N/A,1 hr. 59 min.,PG-13 - Teens 13 or older,#3222,"56,827",574,N/A,N/A
1378,7.69,Kitarou Tanjou: Gegege no Nazo,48426,https://myanimelist.net/anime/48426/Kitarou_Tanjou__Gegege_no_Nazo,Movie,1,Nov 2023,Nov 2023,Finished Airing,N/A,N/A,Toei Animation,Manga,"Comedy, Supernatural",Shounen,1 hr. 45 min.,R - 17+ (violence &amp; profanity),#7363,"8,924",29,N/A,N/A
1379,7.69,Kui Cheng Shoufu Cong Youxi Kaishi,57663,https://myanimelist.net/anime/57663/Kui_Cheng_Shoufu_Cong_Youxi_Kaishi,ONA,16,Feb 2024,May 2024,Finished Airing,N/A,N/A,Foch Film,Web novel,"Comedy, Fantasy",N/A,19 min. per ep.,PG-13 - Teens 13 or older,#8179,"6,830",43,"Feb 3, 2024","May 11, 2024"
1380,7.69,Kyousou Giga (TV),19703,https://myanimelist.net/anime/19703/Kyousou_Giga_TV,TV,10,Oct 2013,Dec 2013,Finished Airing,Fall 2013,Thursdays at 01:30 (JST),Toei Animation,Original,"Action, Fantasy",N/A,25 min. per ep.,PG-13 - Teens 13 or older,#1318,"204,335","2,041","Oct 10, 2013","Dec 19, 2013"
1381,7.69,Muumindani no Suisei,2313,https://myanimelist.net/anime/2313/Muumindani_no_Suisei,Movie,1,Aug 1992,Aug 1992,Finished Airing,N/A,N/A,Visual 80,Book,"Adventure, Fantasy, Slice of Life",Kids,1 hr. 12 min.,G - All Ages,#6524,"11,941",46,N/A,N/A
1382,7.69,Naruto: Shippuuden Movie 6 - Road to Ninja,13667,https://myanimelist.net/anime/13667/Naruto__Shippuuden_Movie_6_-_Road_to_Ninja,Movie,1,Jul 2012,Jul 2012,Finished Airing,N/A,N/A,Studio Pierrot,Manga,"Action, Adventure, Fantasy",Shounen,1 hr. 49 min.,PG-13 - Teens 13 or older,#706,"372,889",657,N/A,N/A
1383,7.69,New Game!!,34914,https://myanimelist.net/anime/34914/New_Game,TV,12,Jul 2017,Sep 2017,Finished Airing,Summer 2017,Tuesdays at 21:30 (JST),Doga Kobo,4-koma manga,Comedy,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#1010,"268,574",886,"Jul 11, 2017","Sep 26, 2017"
1384,7.69,Overlord Movie 2: Shikkoku no Eiyuu,34428,https://myanimelist.net/anime/34428/Overlord_Movie_2__Shikkoku_no_Eiyuu,Movie,1,Mar 2017,Mar 2017,Finished Airing,N/A,N/A,Madhouse,Light novel,"Action, Adventure, Fantasy",N/A,1 hr. 33 min.,R - 17+ (violence &amp; profanity),#2418,"93,080",170,N/A,N/A
1385,7.69,Pokemon Concierge,54633,https://myanimelist.net/anime/54633/Pokemon_Concierge,ONA,4,Dec 2023,Dec 2023,Finished Airing,N/A,N/A,dwarf,Game,Fantasy,Kids,14 min. per ep.,PG - Children,#5705,"16,844",86,N/A,N/A
1386,7.69,Psycho-Pass Movie 1,21339,https://myanimelist.net/anime/21339/Psycho-Pass_Movie_1,Movie,1,Jan 2015,Jan 2015,Finished Airing,N/A,N/A,Production I.G,Original,"Action, Sci-Fi",N/A,1 hr. 53 min.,R - 17+ (violence &amp; profanity),#935,"287,601",559,N/A,N/A
1387,7.69,Shigatsu wa Kimi no Uso: Moments,28069,https://myanimelist.net/anime/28069/Shigatsu_wa_Kimi_no_Uso__Moments,OVA,1,May 2015,May 2015,Finished Airing,N/A,N/A,A-1 Pictures,Manga,N/A,Shounen,23 min.,PG-13 - Teens 13 or older,#2080,"117,725",188,N/A,N/A
1388,7.69,Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,50275,https://myanimelist.net/anime/50275/Sword_Art_Online__Progressive_Movie_-_Kuraki_Yuuyami_no_Scherzo,Movie,1,Oct 2022,Oct 2022,Finished Airing,N/A,N/A,A-1 Pictures,Light novel,"Action, Adventure, Fantasy, Romance",N/A,1 hr. 40 min.,PG-13 - Teens 13 or older,#1871,"135,501",485,N/A,N/A
1389,7.69,Tensei shitara Slime Datta Ken 3rd Season,53580,https://myanimelist.net/anime/53580/Tensei_shitara_Slime_Datta_Ken_3rd_Season,TV,24,Apr 2024,Sep 2024,Finished Airing,Spring 2024,Fridays at 23:00 (JST),8bit,Manga,"Action, Comedy, Fantasy",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#576,"441,759","4,323","Apr 5, 2024","Sep 27, 2024"
1390,7.69,Uma Musume: Pretty Derby Season 3,53526,https://myanimelist.net/anime/53526/Uma_Musume__Pretty_Derby_Season_3,TV,13,Oct 2023,Dec 2023,Finished Airing,Fall 2023,Thursdays at 00:00 (JST),Studio KAI,Game,Sports,N/A,23 min. per ep.,PG-13 - Teens 13 or older,#3575,"47,458",162,"Oct 5, 2023","Dec 28, 2023"
1391,7.69,"Yuru Yuri,",37773,https://myanimelist.net/anime/37773/Yuru_Yuri,OVA,1,Sep 2019,Sep 2019,Finished Airing,N/A,N/A,Lay-duce,Manga,"Comedy, Girls Love",N/A,31 min.,PG-13 - Teens 13 or older,#4175,"35,276",62,N/A,N/A
1392,7.68,Shingeki no Kyojin: The Final Season Specials,49627,https://myanimelist.net/anime/49627/Shingeki_no_Kyojin__The_Final_Season_Specials,Special,2,Jul 2021,Aug 2021,Finished Airing,N/A,N/A,Studio Moriken,Manga,Comedy,N/A,5 min. per ep.,G - All Ages,#5478,"18,819",111,"Jul 7, 2021","Aug 4, 2021"
1393,7.68,Shoujo Kakumei Utena: Adolescence Mokushiroku,441,https://myanimelist.net/anime/441/Shoujo_Kakumei_Utena__Adolescence_Mokushiroku,Movie,1,Aug 1999,Aug 1999,Finished Airing,N/A,N/A,J.C.Staff,Original,"Avant Garde, Drama, Girls Love",N/A,1 hr. 25 min.,R+ - Mild Nudity,#3154,"59,279",732,N/A,N/A
1394,7.68,Soukou Kihei Votoms,2582,https://myanimelist.net/anime/2582/Soukou_Kihei_Votoms,TV,52,Apr 1983,Mar 1984,Finished Airing,Spring 1983,Fridays at 17:55 (JST),Sunrise,Original,"Drama, Sci-Fi",N/A,25 min. per ep.,R+ - Mild Nudity,#4580,"28,855",406,"Apr 1, 1983","Mar 23, 1984"
1395,7.68,Tiger &amp; Bunny Movie 2: The Rising,12017,https://myanimelist.net/anime/12017/Tiger___Bunny_Movie_2__The_Rising,Movie,1,Feb 2014,Feb 2014,Finished Airing,N/A,N/A,Sunrise,Original,"Action, Comedy, Mystery, Sci-Fi",N/A,1 hr. 40 min.,PG-13 - Teens 13 or older,#4240,"34,161",50,N/A,N/A
1396,7.68,Tsurune: Kazemai Koukou Kyuudou-bu,36653,https://myanimelist.net/anime/36653/Tsurune__Kazemai_Koukou_Kyuudou-bu,TV,13,Oct 2018,Jan 2019,Finished Airing,Fall 2018,Mondays at 00:10 (JST),Kyoto Animation,Light novel,Sports,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#1506,"176,353","1,293","Oct 22, 2018","Jan 21, 2019"
1397,7.68,Uchuu Kaizoku Captain Herlock,1000,https://myanimelist.net/anime/1000/Uchuu_Kaizoku_Captain_Herlock,TV,42,Mar 1978,Feb 1979,Finished Airing,Spring 1978,Tuesdays at 19:00 (JST),Toei Animation,Manga,"Action, Adventure, Drama, Sci-Fi",Seinen,25 min. per ep.,PG-13 - Teens 13 or older,#3824,"42,300",365,"Mar 14, 1978","Feb 13, 1979"
1398,7.68,"Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?)",60326,https://myanimelist.net/anime/60326/Watashi_ga_Koibito_ni_Nareru_Wake_Nai_jan_Muri_Muri_※Muri_ja_Nakatta,TV,12,Jul 2025,Sep 2025,Finished Airing,Summer 2025,Tuesdays at 01:00 (JST),studio MOTHER,Light novel,"Comedy, Girls Love",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#2744,"76,181",593,"Jul 8, 2025","Sep 23, 2025"
1399,7.68,Xing Yu Siwan Nian,51390,https://myanimelist.net/anime/51390/Xing_Yu_Siwan_Nian,ONA,16,Oct 2022,Jan 2023,Finished Airing,N/A,N/A,DC Impression Vision,Web novel,"Action, Fantasy, Sci-Fi",N/A,21 min. per ep.,PG-13 - Teens 13 or older,#11135,"2,833",31,"Oct 4, 2022","Jan 10, 2023"
